File: ,IHME_GBD_2013_MDG6_1990_2013_HIV_TB_INCIDENCE_PREVALENCE_DEATHS_Y2014M11D21.CSV,,,,,,,,,,,,,,
Variable:,location_id,location_code,location_name,year,age_group_id,age_group_name,sex_id,sex_name,cause_id,cause_name,metric,unit,mean,lower,upper
Label:,Location ID,"Country ISO 3166-1 Alpha-3 Code, GBD Region Code, or GBD Super-Region Code","Country, Region, or Super-Region Name",Year,Age Group ID,Age Group Name,Sex ID,Sex Name,Cause ID,Cause Name,Metric,Unit,Mean,95% Uncertainty Interval - Lower Bound,95% Uncertainty Interval - Upper Bound
Value coding:,location_id,location_code,location_name,year,age_group_id,age_group_name,sex_id,sex_name,cause_id,cause_name,metric,unit,mean,lower,upper
,1,G,Global,1990,1,Under 5,1,Males,297,Tuberculosis,Deaths,Number,,,
,3,D1,Developed,1991,6,5 to 9,2,Females,298,HIV/AIDS,Prevalence,"Rate per 100,000",,,
,2,D0,Developing,1992,7,10 to 14,3,Both sexes,,,Incidence,,,,
,64,S1,High-income,1993,8,15 to 19,,,,,,,,,
,70,R6,Australasia,1994,9,20 to 24,,,,,,,,,
,71,AUS,Australia,1995,10,25 to 29,,,,,,,,,
,72,NZL,New Zealand,1996,11,30 to 34,,,,,,,,,
,65,R1,High-income Asia Pacific,1997,12,35 to 39,,,,,,,,,
,66,BRN,Brunei,1998,13,40 to 44,,,,,,,,,
,67,JPN,Japan,1999,14,45 to 49,,,,,,,,,
,69,SGP,Singapore,2000,15,50 to 54,,,,,,,,,
,68,KOR,South Korea,2001,16,55 to 59,,,,,,,,,
,100,R16,High-income North America,2002,17,60 to 64,,,,,,,,,
,101,CAN,Canada,2003,18,65 to 69,,,,,,,,,
,102,USA,United States,2004,19,70 to 74,,,,,,,,,
,96,R13,Southern Latin America,2005,20,75 to 79,,,,,,,,,
,97,ARG,Argentina,2006,21,80 plus,,,,,,,,,
,98,CHL,Chile,2007,22,All Ages,,,,,,,,,
,99,URY,Uruguay,2008,27,Age-standardized,,,,,,,,,
,73,R10,Western Europe,2009,,,,,,,,,,,
,74,AND,Andorra,2010,,,,,,,,,,,
,75,AUT,Austria,2011,,,,,,,,,,,
,76,BEL,Belgium,2012,,,,,,,,,,,
,77,CYP,Cyprus,2013,,,,,,,,,,,
,78,DNK,Denmark,,,,,,,,,,,,
,79,FIN,Finland,,,,,,,,,,,,
,80,FRA,France,,,,,,,,,,,,
,81,DEU,Germany,,,,,,,,,,,,
,82,GRC,Greece,,,,,,,,,,,,
,83,ISL,Iceland,,,,,,,,,,,,
,84,IRL,Ireland,,,,,,,,,,,,
,85,ISR,Israel,,,,,,,,,,,,
,86,ITA,Italy,,,,,,,,,,,,
,87,LUX,Luxembourg,,,,,,,,,,,,
,88,MLT,Malta,,,,,,,,,,,,
,89,NLD,Netherlands,,,,,,,,,,,,
,90,NOR,Norway,,,,,,,,,,,,
,91,PRT,Portugal,,,,,,,,,,,,
,92,ESP,Spain,,,,,,,,,,,,
,93,SWE,Sweden,,,,,,,,,,,,
,94,CHE,Switzerland,,,,,,,,,,,,
,95,GBR,United Kingdom,,,,,,,,,,,,
,31,S2,"Central Europe, Eastern Europe, and Central Asia",,,,,,,,,,,,
,32,R2,Central Asia,,,,,,,,,,,,
,33,ARM,Armenia,,,,,,,,,,,,
,34,AZE,Azerbaijan,,,,,,,,,,,,
,35,GEO,Georgia,,,,,,,,,,,,
,36,KAZ,Kazakhstan,,,,,,,,,,,,
,37,KGZ,Kyrgyzstan,,,,,,,,,,,,
,38,MNG,Mongolia,,,,,,,,,,,,
,39,TJK,Tajikistan,,,,,,,,,,,,
,40,TKM,Turkmenistan,,,,,,,,,,,,
,41,UZB,Uzbekistan,,,,,,,,,,,,
,42,R8,Central Europe,,,,,,,,,,,,
,43,ALB,Albania,,,,,,,,,,,,
,44,BIH,Bosnia and Herzegovina,,,,,,,,,,,,
,45,BGR,Bulgaria,,,,,,,,,,,,
,46,HRV,Croatia,,,,,,,,,,,,
,47,CZE,Czech Republic,,,,,,,,,,,,
,48,HUN,Hungary,,,,,,,,,,,,
,49,MKD,Macedonia,,,,,,,,,,,,
,50,MNE,Montenegro,,,,,,,,,,,,
,51,POL,Poland,,,,,,,,,,,,
,52,ROU,Romania,,,,,,,,,,,,
,53,SRB,Serbia,,,,,,,,,,,,
,54,SVK,Slovakia,,,,,,,,,,,,
,55,SVN,Slovenia,,,,,,,,,,,,
,56,R9,Eastern Europe,,,,,,,,,,,,
,57,BLR,Belarus,,,,,,,,,,,,
,58,EST,Estonia,,,,,,,,,,,,
,59,LVA,Latvia,,,,,,,,,,,,
,60,LTU,Lithuania,,,,,,,,,,,,
,61,MDA,Moldova,,,,,,,,,,,,
,62,RUS,Russia,,,,,,,,,,,,
,63,UKR,Ukraine,,,,,,,,,,,,
,103,S7,Latin America and Caribbean,,,,,,,,,,,,
,120,R11,Andean Latin America,,,,,,,,,,,,
,121,BOL,Bolivia,,,,,,,,,,,,
,122,ECU,Ecuador,,,,,,,,,,,,
,123,PER,Peru,,,,,,,,,,,,
,104,R7,Caribbean,,,,,,,,,,,,
